richiesta_id,cliente_id,fornitore_id,operatore_id,data_apertura,data_chiusura,stato,priorita_richiesta,importo_base,iva_22,importo_totale,tempo_chiusura_giorni,prolungata,nome_operatore,ruolo,categoria_servizio_x,zona_x,seniority,capacita_massima,richieste_attive,saturazione,latitudine,longitudine,zona_y,settore,data_iscrizione,fascia_cliente,nome,categoria_servizio_y,zona
1,271,301,1,03/09/2025,13/09/2025,Completata,Bassa,2592,57024,316224,10,False,Marco Russo,Recruiter,IT,Centro,Mid,8,4,0,5,419028,Nord,Insurance,22/09/2024,Medium,Talent Partners,IT,Nord
2,420,155,1,10/08/2025,21/09/2025,Chiusa,Alta,13262,291764,1617964,42,True,Marco Russo,Recruiter,IT,Centro,Mid,8,4,0,5,419028,Nord,Insurance,30/09/2025,Medium,Career Advisory,Compliance,Nord
3,306,589,1,25/01/2025,04/03/2025,Conclusa,Alta,14499,318978,1768878,38,True,Marco Russo,Recruiter,IT,Centro,Mid,8,4,0,5,419028,Nord,Real Estate,06/01/2026,Medium,Strategic Search Partners,Compliance,Nord
4,256,270,1,16/01/2024,05/02/2024,Completata,Alta,14334,315348,1748748,20,False,Marco Russo,Recruiter,IT,Centro,Mid,8,4,0,5,419028,Nord,Insurance,13/11/2023,Medium,NextGen Talent Advisors,Finance,Nord
5,401,271,1,14/02/2025,02/03/2025,Chiusa,Media,7022,154484,856684,16,False,Marco Russo,Recruiter,IT,Centro,Mid,8,4,0,5,419028,Nord,Reinsurance,29/04/2025,Medium,Talent Partners,Risk Management,Nord
6,272,110,2,31/07/2025,16/08/2025,Conclusa,Media,7985,17567,97417,16,False,Luca Ferrari,Senior Recruiter,Finance,Sud,Senior,12,7,0,58,381157,Nord,Consulting,05/08/2024,Medium,NextGen Talent Advisors,Sales,Nord
7,201,166,2,09/09/2025,25/09/2025,Completata,Media,6039,132858,736758,16,False,Luca Ferrari,Senior Recruiter,Finance,Sud,Senior,12,7,0,58,381157,Nord,Real Estate,25/01/2023,Medium,Alpha Talent Network,Risk Management,Nord
8,351,156,2,01/12/2024,09/01/2025,Chiusa,Alta,12834,282348,1565748,39,True,Luca Ferrari,Senior Recruiter,Finance,Sud,Senior,12,7,0,58,381157,Nord,Consulting,13/03/2025,Medium,Alpha Talent Network,Compliance,Nord
9,235,55,2,17/04/2025,07/05/2025,Conclusa,Media,7809,171798,952698,20,False,Luca Ferrari,Senior Recruiter,Finance,Sud,Senior,12,7,0,58,381157,Nord,Insurance,18/09/2023,Medium,Career Advisory,Sales,Nord
10,205,392,2,28/07/2024,04/08/2024,Completata,Bassa,2579,56738,314638,7,False,Luca Ferrari,Senior Recruiter,Finance,Sud,Senior,12,7,0,58,381157,Nord,Real Estate,03/12/2023,Medium,HR Consulting Group,Finance,Nord
11,417,442,2,18/10/2025,27/10/2025,Chiusa,Media,7661,168542,934642,9,False,Luca Ferrari,Senior Recruiter,Finance,Sud,Senior,12,7,0,58,381157,Nord,Insurance,13/03/2025,Medium,HR Consulting Group,Finance,Nord
12,2,591,3,09/03/2025,21/03/2025,Conclusa,Media,7470,16434,91134,12,False,Giulia Esposito,HR Consultant,Compliance,Nord,Junior,5,3,0,6,454384,Nord,IT,29/03/2024,Small,Talent Partners,IT,Nord
13,327,222,3,24/01/2024,07/02/2024,Completata,Media,6585,14487,80337,14,False,Giulia Esposito,HR Consultant,Compliance,Nord,Junior,5,3,0,6,454384,Nord,Consulting,22/04/2026,Medium,HR Consulting Group,Risk Management,Nord
14,171,126,3,10/01/2025,18/01/2025,Chiusa,Bassa,2926,64372,356972,8,False,Giulia Esposito,HR Consultant,Compliance,Nord,Junior,5,3,0,6,454384,Nord,IT,16/04/2023,Small,Alpha Talent Network,Finance,Nord
15,18,491,3,03/05/2024,12/05/2024,Conclusa,Bassa,3959,87098,482998,9,False,Giulia Esposito,HR Consultant,Compliance,Nord,Junior,5,3,0,6,454384,Nord,Finance,18/06/2023,Small,Talent Partners,IT,Nord
16,505,31,3,09/02/2025,24/02/2025,Completata,Media,6575,14465,80215,15,False,Giulia Esposito,HR Consultant,Compliance,Nord,Junior,5,3,0,6,454384,Nord,Consulting,17/07/2026,Enterprise,Talent Partners,Risk Management,Nord
17,189,510,3,05/05/2025,21/05/2025,Chiusa,Media,7594,167068,926468,16,False,Giulia Esposito,HR Consultant,Compliance,Nord,Junior,5,3,0,6,454384,Nord,Real Estate,19/12/2024,Small,NextGen Talent Advisors,IT,Nord
18,366,117,4,16/05/2024,26/05/2024,Conclusa,Media,6542,143924,798124,10,False,Francesca Bianchi,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,6,0,75,419800,Nord,Real Estate,07/10/2025,Medium,People First Consulting,Sales,Nord
19,362,387,4,10/11/2025,22/11/2025,Completata,Bassa,2346,51612,286212,12,False,Francesca Bianchi,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,6,0,75,419800,Nord,IT,23/02/2026,Medium,People First Consulting,Sales,Nord
20,143,348,4,02/10/2025,,In lavorazione,Alta,13484,296648,1645048,30,True,Francesca Bianchi,Talent Acquisition Specialist,Risk Management,Centro,Mid,8,6,0,75,419800,Nord,Real Estate,15/06/2023,Small,Global Recruitment Services,Risk Management,Nord
